ClientNumber,ClientName,ClientIndustry,StateCode,CardNumber,CardCVN,CardExpiry,ECI,CardPAN,TransactionSource,SummaryCode,BankAccountType,ReferenceNumber,PrincipleAmount,SurchargeRate,SurchargeAmount,LateFee,Amount,Currency,ReminderSent,CreditScore,CreditScoreStatus,CreditStatusProgress,Date,Time
12-0266943,Nissa,Human Resources,SC,4415-2294-5427-1818,58,2024-01,MTO,MC,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,JRFG8000858,7357.8,0.01,73.578,220.734,7652.122,AUD,No,652,Fair,NoChange,29/11/2021,5:15 PM
24-9084998,Diena,Human Resources,MI,8086-5078-7638-3398,651,2024-02,MTO,VI,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,DHGN6294557,7213.3,0.01,72.133,216.399,7501.842,AUD,Yes,411,Poor,Increased,1/02/2021,10:10 PM
41-5662298,Lesley,Product Management,PA,2128-3691-5366-9945,506,2024-10,SSL,MC,BPAY,Declined,BPay,MLOH2392268,7464.7,0.01,74.647,223.941,7763.298,AUD,No,351,Poor,NoChange,9/03/2022,12:28 AM
62-0890511,Lotta,Engineering,NC,0148-3252-0828-2132,668,2024-07,MTO,AX,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,XAKO5335783,7572.4,0.02,151.448,227.172,7951.04,AUD,No,640,Fair,NoChange,23/01/2022,11:54 PM
77-3112052,Elva,Legal,FL,6049-9643-0928-5688,961,2024-09,REC,AX,BRANCH_PAYMENT,Pending,BranchPayment,AIXW7186348,8868.6,0.02,177.372,0,9045.992,AUD,No,697,Good,Increased,25/10/2021,11:53 PM
97-8941245,Tobi,Services,NY,9882-1364-8324-1686,780,2024-07,SSL,AX,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,HSMW1353146,874,0.02,17.48,0,891.5,AUD,Yes,303,Poor,Decreased,11/11/2020,4:34 AM
60-9953730,Timoteo,Business Development,WA,7903-4375-7612-1272,158,2024-09,REC,AX,REMITTANCE_PROCESSING_SERVICE,Pending,RemittanceService,BVIA2014242,666.5,0.02,13.33,0,679.85,AUD,No,579,No Data,Decreased,10/10/2020,1:38 AM
24-5242541,Drucie,Product Management,NM,4440-8240-2587-6414,346,2024-01,SSL,AX,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,MUDD4010786,6341.9,0.02,126.838,0,6468.758,AUD,No,536,Poor,Decreased,8/02/2021,11:10 PM
96-5456887,Charlena,Services,TN,3227-9390-9215-4420,914,2024-04,MTO,EFT,AUSTRALIA_POST,Pending,AustraliaPost,INEN9995605,7842,0.005,39.21,0,7881.215,AUD,No,702,Good,Decreased,22/12/2020,8:57 PM
74-4673645,Anna-diane,Research and Development,AZ,2037-6024-0123-7991,770,2024-10,REC,AX,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,XHBJ7259565,5353.3,0.02,107.066,0,5460.386,AUD,Yes,535,Poor,NoChange,1/06/2021,8:43 AM
23-2075820,Carri,Accounting,NV,9298-1603-4373-0989,210,2024-09,SSL,EFT,REMITTANCE_PROCESSING_SERVICE,Approved,RemittanceService,KCIX7962889,1076,0.005,5.38,0,1081.385,AUD,Yes,649,Fair,NoChange,9/02/2021,2:55 PM
42-2579047,Erminia,Product Management,MO,8520-3160-3027-0810,69,2024-10,REC,VI,REMITTANCE_PROCESSING_SERVICE,Pending,RemittanceService,JTMI8682078,1698,0.01,16.98,0,1714.99,AUD,Yes,314,Poor,Decreased,6/01/2022,10:59 PM
87-8912886,Hendrik,Human Resources,CA,7126-2268-2466-0567,31,2024-05,SSL,VI,BRANCH_PAYMENT,Pending,BranchPayment,RULD6099997,2380.1,0.01,23.801,0,2403.911,AUD,No,383,Poor,Increased,22/10/2020,8:45 AM
01-9853783,Obadias,Accounting,VA,0618-3071-9518-4013,461,2024-11,SSL,AX,REMITTANCE_PROCESSING_SERVICE,Pending,RemittanceService,CRWH1554320,4096.7,0.02,81.934,0,4178.654,AUD,Yes,583,Fair,Decreased,2/06/2020,8:42 PM
99-5341878,Alfonse,Accounting,CO,4547-2534-2348-2477,384,2024-10,MTO,VI,AUSTRALIA_POST,Approved,AustraliaPost,JNEF8254978,5997.1,0.01,59.971,0,6057.081,AUD,Yes,650,Fair,Increased,18/11/2021,9:05 PM
31-5436590,Findley,Support,DC,6784-4442-3732-2897,280,2024-07,REC,VI,REMITTANCE_PROCESSING_SERVICE,Approved,RemittanceService,GNZK5848727,4272.8,0.01,42.728,0,4315.538,AUD,Yes,492,Poor,Decreased,26/07/2020,1:46 PM
81-5815647,Elyssa,Engineering,TX,2773-9694-7309-1271,320,2024-08,SSL,VI,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,SDUP4817414,8241,0.01,82.41,0,8323.42,AUD,Yes,352,Poor,NoChange,5/09/2021,10:44 AM
95-4192273,Walden,Accounting,KS,5594-1092-7637-1793,467,2024-09,SSL,VI,BRANCH_PAYMENT,Declined,BranchPayment,UQHH5744265,8068.2,0.01,80.682,0,8148.892,AUD,No,719,Good,Decreased,15/03/2021,4:18 AM
87-9649500,Morlee,Support,CT,9376-0010-1032-3271,454,2024-07,SSL,EFT,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,HOGP8123544,5672.9,0.005,28.3645,0,5701.2695,AUD,Yes,388,Poor,Decreased,4/10/2021,1:46 PM
